count|short|long
1|https://t.co/paS3L064lP|https://constitution.com/trump-worst-humanity-strikes-best-humanity-responds/
2|https://t.co/xxYK7Z5Ona|https://twitter.com/cleveland19news/status/916102926271172608
3|https://t.co/kE5zlBkj9u|https://twitter.com/BarracudaMama/status/917107610477846529
4|https://t.co/1hE0ruGE6y|https://www.youtube.com/watch?v=FGVGFfj7POA&feature=youtu.be
5|https://t.co/gG29M2LFOB|https://twitter.com/JudgeJeanine/status/916847624862535680
6|https://t.co/LQ2VNtUeIj|https://twitter.com/skb_sara/status/916115191288483840
7|https://t.co/DTW7T3cnpT|https://www.youtube.com/watch?v=TY7kGdsB6_g&feature=youtu.be
8|https://t.co/TnIsDFKEDi|https://twitter.com/ChadKubisNC/status/915726671059341318
9|https://t.co/kSlonYCz9r|https://twitter.com/WashTimes/status/916203932015349760
10|https://t.co/2QDecJigT3|https://twitter.com/ihatethemedia/status/916173255165095936
11|https://t.co/RzHeOGNKR2|https://twitter.com/peaceandjoy101/status/916182248201662464
12|https://t.co/zgsmlvSo14|https://twitter.com/LifeSite/status/916181502764908544
13|https://t.co/Q1jiR1U0wJ|https://twitter.com/FoxNews/status/916188775755153408
14|https://t.co/IH74sf5rQA|https://twitter.com/peaceandjoy101/status/916172620780888065
15|https://t.co/B806JVksWR|https://twitter.com/WebMD/status/916226530195451904
16|https://t.co/ZaeHzhLOmm|https://www.youtube.com/watch?v=uysVXltx-nQ&feature=youtu.be
17|https://t.co/OJTN3NQNKW|https://www.youtube.com/watch?v=32W3J7XaNH8&feature=youtu.be
18|https://t.co/8gXG9KpCUj|https://twitter.com/LadyMareeAnn/status/915822381180047360
19|https://t.co/Dd6I1DhiC7|https://twitter.com/ReturntoOrder/status/764168391133388800/photo/1
20|https://t.co/YLfIX4tQcw|https://twitter.com/ReturntoOrder/status/915635165459877893
21|https://t.co/aFr9FOZDFk|https://www.youtube.com/watch?v=via&feature=youtu.be
22|https://t.co/SFS6ApXmxD|https://www.youtube.com/watch?v=pUlX8ltm_JU&feature=youtu.be
23|https://t.co/7nmirmFPKh|https://twitter.com/SheriffClarke/status/915049619268276226
24|https://t.co/qkBiyaGjmM|https://twitter.com/SheriffClarke/status/915047214405357569
25|https://t.co/MhBAiT8izy|https://www.youtube.com/watch?v=XRuDQ6aYeD0&feature=youtu.be
26|https://t.co/bdTuCMunKs|https://www.youtube.com/watch?v=fP5mMG2Ljmk&feature=youtu.be
27|https://t.co/E45MgDbjb5|https://100percentfedup.com/lol-radio-station-hosts-car-wash-veteransuses-nfl-jerseys-wash-cars/
28|https://t.co/ApIjWsc6V4|https://twitter.com/johncardillo/status/913747074352648194
29|https://t.co/6SBczuk0Su|https://twitter.com/WebMD/status/914391942934536193
30|https://t.co/3dNYVfOPxX|https://twitter.com/BarracudaMama/status/914390704893366272
31|https://t.co/LPRJnRUrEJ|https://www.youtube.com/watch?v=ZlbOTZgs2xc&feature=youtu.be
32|https://t.co/ZyKwL9hWTG|https://twitter.com/FoxNews/status/914032078907334656
33|https://t.co/Wl8K2xiDLg|https://twitter.com/WebMD/status/914052202368561154
34|https://t.co/xC2xJL9G3L|https://twitter.com/BarracudaMama/status/914020994213400577
35|https://t.co/bD34oQxpRJ|https://twitter.com/WebMD/status/913999354993750016
36|https://t.co/SujQpHetYJ|https://twitter.com/BarracudaMama/status/914050193502371840
37|https://t.co/iTK5kU7Zo8|https://twitter.com/Tactical_review/status/914027535372972032
38|https://t.co/J2nmz4kf0o|https://twitter.com/PoemsPorn/status/910722013463015424/photo/1
39|https://t.co/eJzWa6bE6d|https://twitter.com/PoemsPorn/status/912424261649911813/photo/1
40|https://t.co/dUYCGjTnJp|https://twitter.com/PoemsPorn/status/912810543676837903/photo/1
41|https://t.co/57s70ekOgo|https://www.youtube.com/watch?v=MwSL-57pNqM&feature=youtu.be
42|https://t.co/TMT35wDHWw|https://www.youtube.com/watch?v=smK01QCdbxg&feature=youtu.be
43|https://t.co/CMz4UZH1za|https://www.youtube.com/watch?v=owW0nA5JfP4&feature=youtu.be
44|https://t.co/hQxcoXXbpt|https://www.youtube.com/watch?v=QJHhTToZp78&feature=youtu.be
45|https://t.co/Fz7bbchFC1|https://www.youtube.com/watch?v=vb5U_vQ3kaw&feature=youtu.be
46|https://t.co/voPntXidK8|https://twitter.com/JudgeJeanine/status/913819841076674560
47|https://t.co/Y1OgUPsWW1|https://twitter.com/DianeMariePosts/status/917542044091899905
48|https://t.co/pDcCo7cSPg|https://twitter.com/rhodes_peter1/status/917538971856637952
49|https://t.co/9ziEGcc7Kf|https://twitter.com/anna_938/status/916816000959598593
50|https://t.co/bT22AMA6o4|https://twitter.com/DennisWardNews/status/916869425713897472
51|https://t.co/zkZjY0L9G5|https://twitter.com/jcpeanut2345/status/881922079393697792
52|https://t.co/oQPSq0thxE|https://twitter.com/CBCNews/status/916815512801349632
53|https://t.co/0Ajg9xcplH|https://twitter.com/Anncostanza1/status/917451218796019712
54|https://t.co/7NcB3uIGnX|https://www.lifesitenews.com/news/canadas-national-media-blast-trudeau-govt-for-abortion-hypocrisy
55|https://t.co/IvMOFFWAwI|https://twitter.com/Franktmcveety/status/916879619969581056
56|https://t.co/PL5XivzPVp|https://twitter.com/PaulaStein3/status/917501706585309184
57|https://t.co/WJuBz5tx8h|https://twitter.com/AndersonBooz/status/917498115246063616
58|https://t.co/vAemhGsXAI|https://twitter.com/punditclass/status/840611490621153280/video/1
59|https://t.co/uLJl6KYSks|https://twitter.com/wdw981/status/851191530446606337/photo/1
60|https://t.co/s7R3Qp1K|200
61|https://t.co/1VkDyIZnXg|http://www.torontosun.com/2017/10/09/the-oily-excuses-of-justin-trudeau
62|https://t.co/UhW2uMQd5P|https://twitter.com/DRKMATR420/status/917479382284779520
63|https://t.co/jo83cYw4rA|https://twitter.com/DianeMariePosts/status/917480715893186560
64|https://t.co/qOwYKN7FRI|https://twitter.com/DianeMariePosts/status/917471786509336576
